restaurant_name,name,rating,review
Ayam Goreng Lembur Kuring Pusat,Faisal Fikri,5.0,"(Translated by Google) The location is strategic, located on one of the main roads in the city of Semarang, close to hotels and shopping centers, just walk to the mall. The omitted food menu is quite simple, but has a luxurious taste. Fried chicken, soto, uduk rice and sweet iced tea and others. Fast and friendly service, suitable for dining with family and partners or friends. The parking area is quite spacious. (Original) Lokasinya strategis, berada di salah satu jalan utama kota Semarang, dekat dengan hotel hotel dan pusat perbelanjaan, tinggal jalan kaki aja dah sampe mall. Menu Makanan yang dihilangkan cukup sederhana, tapi punya rasa yang mewah. Ayam goreng, soto, nasi uduk dan minuman es teh manis dan lainnya. Pelayanan cepat dan ramah, cocok buat makan bersama keluarga dan pasangan atau teman. Lokasi parkir cukup luas."
Ayam Goreng Lembur Kuring Pusat,Ariswan Ariswan,1.0,"(Translated by Google) The price of the food doesn't match the taste... Tempe contains 2 pieces 10 rb Tofu 2 pieces 10 rb little chicken A portion of rice 10 rb Lost mall food Complained with saying tax Street food with tax It's expensive, it's full, it's not delicious, it's not... (Original) Harga makanan tidak sesuai dengan rasa ... Tempe isi 2 potong 10 rb Tahu 2 potong 10 rb Ayam kecil Nasi seporsi 10 rb Kalah makanan mall Di komplen pake bilang pajakk Makanan pinggir jalan pake pajak Mahal iya kenyang kaga enak juga gak ..."
Ayam Goreng Lembur Kuring Pusat,Lutfia Prihanani,3.0,"(Translated by Google) Erm.. it's a bit unsuitable, because the price may be expensive but the chicken is very small, the petai is also expensive, only 3 contents, and salty, but the soup and tamarind vegetables are really good, the contents are a lot, if it's worth it, you can't pay by debit. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . , and there is still additional VAT (Original) Emm.. agak kurang cocok sih, karena harganya mayan mahal tapi ayamnya kecil banget , pete nya juga mahal , isi 3 doang, dan asin, tapi untuk sop dan sayur asemnya enak banget, isinya banyak kalo ini worth it, pembayaran ga bisa pake debit, dan masi ada tambahan ppn nya"
Ayam Goreng Lembur Kuring Pusat,Andy Saputra,1.0,"(Translated by Google) Usually, high prices are synonymous with good taste, but this is old service, the taste is ordinary, the chicken is also not very big, the chili sauce is sweet, the most sick is the ordinary orange ice 17 thousand anjir (Original) Biasanya kalo harga mahal identik dgn rasa yg enak, tapi ini Pelayanan lama, rasa biasa aja, ayam nya juga ga besar2 amat, sambal manis, yg paling sakit es jeruk biasa 17rb anjir"
Ayam Goreng Lembur Kuring Pusat,Windy Yuswita,4.0,"(Translated by Google) The price is quite affordable but for a little less bold taste. Only for the fried chicken, the taste is quite spicy, the rest we eat uduk, tofu, tempeh, tamarind vegetables and the sauce is a little less solid (Original) Harga lumayan terjangkau namun untuk rasa agak kurang berani. Hanya untuk ayam gorengnya lumayam kerasa bumbunya sisanya kami makan uduk, tahu, tempe, sayur asem dan sambelnya agak kurang mantap"
Ayam Goreng Lembur Kuring Pusat,Adhi C Kusuma,5.0,"(Translated by Google) Various Indonesian dishes, especially fried chicken with its special spices. Choice of white rice or nasi uduk. The location is on Jalan Gajah Mada close to Ciputra Mall. The place to eat is clean and roomy, serving quite fast. The sauce fits on my tongue. The lungs and fried tripe are small in size, but the tempeh and tofu are large. (Original) Aneka masakan Indonesia terutama Ayam goreng dengan bumbu khas nya. Pilihan nasi putih atau nasi uduk. Lokasi di jalan Gajah Mada dekat dengan Ciputra Mall. Tempat makannya bersih dan lapang, penyajian cukup cepat. Sambalnya cocok di lidah saya. Untuk ukuran paru dan babat gorengnya size ukurannya kecil, tapi tempe dan tahu nya besar."
Ayam Goreng Lembur Kuring Pusat,Aditya Rizky Darryl Nugroho,5.0,"(Translated by Google) Fried chicken from the age of 5 years old has been invited by grandmother here, now Alhamdulillah in 2022 the age of 27 is also back here (Original) Ayam goreng dari umur masih 5 tahunan sudah diajak nenek kesini, sekarang Alhamdulillah di tahun 2022 umur 27 tahun juga balik kesini"
Ayam Goreng Lembur Kuring Pusat,RIN,4.0,"(Translated by Google) Legendary fried chicken in Semarang, for a fairly affordable price. But here there is no package model like the one in the Pamularsih branch. (Original) Ayam goreng legend di Semarang, untuk harga lumayan terjangkau. Tapi disini tidak ada model paket seperti yang di cabang Pamularsih."
Ayam Goreng Lembur Kuring Pusat,EW Tanto,4.0,"(Translated by Google) The taste of the chicken is sweet, both fried and grilled. The soup without any green vegetables contains bean sprouts, chicken and vermicelli, sprinkled with fried garlic. Garang tamarind is very spicy. The place is strategic because it is surrounded by hotels so tourists can go straight to the restaurant. If parking a car is a bit difficult Only the price of crackers is 1 = 1,500 :( (Original) Rasa ayamnya manis baik goreng maupun bakar. Sotonya tanpa ada sayuran hijau isinya taoge,ayam dan bihun,ditaburi bawang putih goreng. Garang asemnya pedes sekali. Tempatnya strategis karen dikelilingi hotel sehingga wisatawan bisa langsung jalan ke rumah makan tersebut. Kalau parkir mobil yang agak susah Cuman harga krupuknya 1 =1.500 :("
Ayam Goreng Lembur Kuring Pusat,Susan Natalia,4.0,"(Translated by Google) One of the favorite places to eat from the past ... the chicken tastes so sweet ... delicious ... If you like offal, you can try the tripe iso too, it's delicious ... the tamarind vegetables are fresh ... the uduk rice is delicious ... (Original) Salah satu tempat makan langganan dari dulu..ayamnya tastenya manis gitu...enak... Kalo yang suka jeroan,bisa cobain juga iso babatnya, enak..sayur asemnya seger...nasi uduknya enak..."
Ayam Goreng Lembur Kuring Pusat,Beni Krisbiantoro,5.0,"(Translated by Google) Taste good cuisine, strategic place near Simpang Lima next to the Ibis hotel. Prices are also affordable. (Original) Rasa masakannya enak, tempat strategis dekat Simpang Lima samping hotel Ibis. Harga juga terjangkau."
Ayam Goreng Lembur Kuring Pusat,andre santoso,5.0,"(Translated by Google) Fried chicken specialist restaurant, located strategically close to Simpang Lima but slightly blocked from the highway should be slowly when searching. The menu choices are quite complete, in addition to fried chicken there are also other foods such as tamarind vegetables, jerohan chicken, tofu tempe and also the burnt menu. For quite affordable prices. (Original) Rumah makan spesialis ayam goreng, lokasinya strategis dekat dengan Simpang Lima namun sedikit terhalang dari jalan raya sebaiknya pelan-pelan ketika mencari. Pilihan menunya cukup lengkap, selain ayam goreng ada juga makanan lainnya seperti sayur asem, jerohan ayam, tahu tempe dan juga menu bakaran. Untuk harga cukup terjangkau."
Ayam Goreng Lembur Kuring Pusat,Eny Sulistyaningsih,4.0,"(Translated by Google) Open from morning, so it can be used as an alternative for breakfast. The menu is also quite complete from fried chicken, grilled, to soto Semarang. Pretty good taste. It's just that the price is quite high. The menu like the one in the photo I have to pay 95 thousand skian .. Had been surprised and when the receipt was checked it turned out the price of a glass of warm orange 15 thousand ... Yes pantesan ... (Original) Buka dari pagi, jadi bisa dijadikan salah satu alternatif untuk sarapan. Menu juga cukup lengkap dari ayam goreng, bakar, sampai soto Semarang. Rasa lumayan. Hanya saja harga lumayan tinggi. Menu seperti yang di foto tsb saya harus membayar 95rbuan skian.. Sempat kaget dan ketika struk di cek ternyata harga segelas jeruk hangat 15rb.. Ya pantesan..."
Ayam Goreng Lembur Kuring Pusat,d paramartha,4.0,"(Translated by Google) The chicken & sauce are the best in Semarang, perfect for those who like sweet dishes & the sambal is not too spicy, the price is a bit low, not to mention the 10% tax 🤭 (Original) ayam & sambelnya paling enak se semarang, cucok buat yg suka masakan manis & sambel ga pedes2 bgt, harga emng agak mihil belum lagi kena pajak 10%🤭"
Ayam Goreng Lembur Kuring Pusat,bue Aby Azka Sakha,5.0,"(Translated by Google) The fried chicken is delicious, suitable for adults or children, tender (Original) Ayam gorengnya enak cocok buat dewasa ataupun anak2, empuk Parking: Agak susah parkir kalo pas rame"
Ayam Goreng Lembur Kuring Pusat,mbah gAn,4.0,(Translated by Google) the taste hasn't changed until now 04 April 2021 (Original) cita rasa tidak berubah hingga saat ini 04 April 2021
Ayam Goreng Lembur Kuring Pusat,Tan Ellena,1.0,"(Translated by Google) Sorry, I didn't drop it but it really doesn't taste good, from chicken, chili sauce, tofu, tempeh, peppers, it's already fried like used oil which is already really stuck to the food, the first time I tried it and it won't happen again🙏🏻 (Original) Maaf bukan menjatuhkan tapi ini rasanya bener2 ga enak, dari ayam, sambal, tahu, tempe, pepes, udah gtu gorengnya sperti minyak bekas yg udah item banget sampe nempel di makanan, pertama kali coba dan tidak akan lagi🙏🏻"
Ayam Goreng Lembur Kuring Pusat,Bud Rahardjo,4.0,"(Translated by Google) Subscription since 1995 until now, the taste is still great...specially the fried chicken, vegetables, tamarind, soup, oxtail, empal, rice, uduk etc.... the sambal is delicious....ok (Original) Langganan sejak1995 sampai sekarang tetap mantap rasanya...spesial ayam goreng sayur asem sop buntut empal nasi uduk dll....sambalnya sedap....ok"
Ayam Goreng Lembur Kuring Pusat,hartono kurniawan,5.0,(Translated by Google) Legendary fried chicken and established in Semarang since 1975 (Original) Ayam goreng legendaris dan berdiri di semarang sejak 1975
Ayam Goreng Lembur Kuring Pusat,Kurniawan,2.0,"(Translated by Google) The price is expensive because it is calculated per item starting from side dishes, rice, fresh vegetables, and drinks. The price per item is also too expensive and the taste is ordinary. Better look at the menus per item for new buyers. (Original) Harga mahal karena dihitung Per item mulai dari lauk,nasi,lalapan,dan minuman. Harga per item juga terlalu mahal dan rasa biasa aja. Mending liat menu² per item bagi pembeli baru."
Ayam Goreng Lembur Kuring Pusat,Rama Ptdi,5.0,(Translated by Google) This is the first time and the first impression is that it tastes good.. the seasoning is delicious.. it's just delicious (Original) Baru pertama kali dan kesan pertama rasanya enak .. bumbunya terasa .. sedap pokoknya
Ayam Goreng Lembur Kuring Pusat,Suwandi Sutanto,3.0,"(Translated by Google) The taste is okay, the location is a bit inadequate, especially the parking lot (Original) Citarasa okey lokasi agak kurang memadai terutama tempat parkir"
Ayam Goreng Lembur Kuring Pusat,Odjar Sarbono,4.0,(Translated by Google) It's delicious. No problem with the feel of the place and the service. Only problem with the portion. If anyone wants to eat well but is on a diet. It's really suitable to eat here. The sense of getting energy and the carbs and pores is just right for the dieter Warung legend from Tabun 1970. Know this place right between fathers who want nostalgia. (Original) Enak sih. Ga ada masalah dengan rasa tempat dan pelayanannya. Cuma masalah dengan porsinya. Kalo ada yang pingin makan enak tapi lagi diet. Cocok banget makan disini. Rasa dapat energi dan karbo dapat dan porainya pas buat dieter Warung legend dari tabun 1970. Tau tempat ini pas antar bapak yang pingin nostalgia.
Ayam Goreng Lembur Kuring Pusat,Rekha Pieter,5.0,"(Translated by Google) The fried chicken is delicious, the service is friendly (Original) Ayam gorengnya enak bgt pelayanan ramah"
Ayam Goreng Lembur Kuring Pusat,Eko Novie,5.0,"(Translated by Google) The legendary fried chicken taste has always been awake, but it makes me miss...recommended...must be enjoyed 🙏⭐ (Original) Ayam goreng rasa legen dari dulu terjaga rasanya, sll bikin kangen...recomanded...wajib dinikmati 🙏⭐"
Rodjo Resto,Suyandi Liyis,5.0,"Authentic Indonesia cuisine restaurant. Place is huge and parking is convenient. Staffs are great well greeting. Price is best, worth for the money. Foods are taste great too. Located just before toll road, i highly recommended to fill your stomach before the long journey"
Rodjo Resto,Nathanael Pribady,5.0,"Great place to eat in Semarang, near exit toll also"
Rodjo Resto,Daniel Judah,5.0,"Very good restaurant! The food tasted very good, and the place is comfortable. The chicken is nothing special, but the gurame and the iga is very good and a must-taste. The server could explain all of the foods, they are also very patient with the customers. Seating capacity is very good, the eating area is well air conditioned. Toilets are clean. Parking space is small."
Rodjo Resto,Suria Nataadmadja,4.0,Nice spacious place to dine. We had our lunch here. Tasty and delicious food. Relatively clean and affordable. Good variety of local delicacy here.
Rodjo Resto,Hanelyn,4.0,Nice place. Clean and there is a live music that we can sing
Rodjo Resto,lutfia nursetya,5.0,"Easy way to do quick dine in since its strategic location, meal choices are so vary, offering mainly local cuisine such as tahu gimbal, nasi campur bali etc and some of seafood menu. The service is quite fast, staffs are so friendly, and the venue is huge, clean and comfortable"
Rodjo Resto,Ummu Ammar,3.0,Meals are not too good. Price is high but small portion. Room with out AC is too dark need more light.Mushola is small n hot.
Rodjo Resto,Stefanus Budianto,4.0,"Good Restaurant, reasonable price, Good taste, also Have a Big Parking lot😊👍"
Rodjo Resto,Rizal Iswara,5.0,One of the most recommended Indonesian restaurant in Semarang. Gurami bakar madu is my personnal favorite and not to mention their jagung telor asin.
Rodjo Resto,Emma Nichols,3.0,"We went there during Ramadhan, booked a day in advance via WhatsApp, then went to the restaurant to ensure that our group orders were noted and would be ready for when we got there for Iftar (we gave some amount of money for the down payment). Tried to book a spot that we wanted but unfortunately it was declined saying that it was reserved already. We went there for Iftar to find out that our table was completely empty. Nobody approached us after a while, so I had to get someone to ask about our orders. Only then our drinks started coming out 1 by 1, they messed up with the dine-in and takeaway orders, some of the foods came out cold, some were OK, some took ages to come out. Note that the portions are very small for the price you pay, if you've got a sweet tooth then this is the place for you since the foods tend to taste sweet - which I personally like."
Rodjo Resto,Sylvia Rini Handayani,4.0,"Nice restaurant at the heart of Semarang. Easy to reach, near many city landmarks. There are common area for random guests and private area that can be reserved for special occasions. Food is good, specialty on the javanese fried chicken and sweet and sour fried fishes (ikan asam manis) Toilets are quite okay though need more rapid cleaning and brushing. Musholla (praying room) is outdoor which makes it hot. It also needs more maintenance. The dining experience is okay and the price is good. Okay for quick lunch in central Semarang for families in a medium budget who needs quick stopby."
Rodjo Resto,Dewangga prakosa,4.0,"Well most of the Gurame dishes are too salty. But other menus overall worth it. And yeah, friendly staff."
Rodjo Resto,Muhammad Kalifardi,5.0,The food is good and the place is convenient to bring a group of people. This place serve seafood and other traditional food
Rodjo Resto,budiman kartono,5.0,I like the javanese food here.The taste is worthable to the price
Rodjo Resto,Iwan Juniar,5.0,"Like the beef satay, kinds of vegetables and also the fresh juice. Well done."
Rodjo Resto,Alvina Noor Arifa,5.0,"Having dinner here with my family, the taste is good, nice and clean place."
Rodjo Resto,Bayu Andika Putra,5.0,"Nice place for lunch and dinner. Large space, nice location. Quite crowded."
Rodjo Resto,Duminda Bandara,3.0,Really tasty food and nice environment to dine
Rodjo Resto,dyahpradita Oktaviany,5.0,Comfy and elegant.... The most important thing is they have decent praying room for salat
Rodjo Resto,Ikha ikha,5.0,"Good food, good place. Bebek remuk is my favourit"
